batch_id,temperature_C_avg,pH_avg,dissolved_oxygen_pct_avg,agitation_rpm_avg,airflow_vvm_avg,feed_rate_L_hr_avg,fermentation_time_hr,inoculum_age_hr,substrate_concentration_g_L,yield_pct,deviation_flag
B2026-0281,30.71,5.69,28.07,425.6,1.47,3.56,75.3,23.5,37.4,88.52,0
B2026-0282,30.72,5.59,39.14,358.2,1.33,4.72,77.3,20.7,45.4,78.28,1
B2026-0283,30.13,5.69,25.8,462.2,1.32,2.82,66.7,24.6,37.5,88.89,0
B2026-0284,30.67,5.98,27.05,352.6,1.31,2.36,75.4,19.8,34.9,83.19,0
B2026-0285,30.19,5.76,26.75,483.7,1.19,4.11,70.7,14.4,48.2,80.64,0
B2026-0286,29.61,5.66,27.47,577.2,1.24,2.95,60.7,23.9,31.8,80.99,0
B2026-0287,30.49,6.31,40.79,440.2,0.99,3.39,62.4,18.5,47.6,85.97,0
B2026-0288,30.08,5.76,37.03,452.1,0.81,3.08,67.4,21.4,40.5,84.71,0
B2026-0289,30.0,6.6,45.68,392.9,1.23,3.55,74.4,17.4,40.7,83.77,0
B2026-0290,31.03,5.83,50.14,320.4,1.26,2.88,72.5,26.6,44.5,82.84,0
B2026-0291,28.28,6.42,23.75,386.9,1.42,3.3,72.8,16.5,45.5,75.04,1
B2026-0292,29.01,5.93,32.56,359.9,1.48,3.65,80.8,18.7,37.0,84.58,0
B2026-0293,29.17,6.14,22.59,340.4,1.48,2.85,66.3,20.4,46.3,79.02,1
B2026-0294,29.75,5.55,25.78,514.7,1.02,3.01,71.9,15.6,42.7,85.99,0
B2026-0295,29.82,5.5,26.96,435.0,1.14,3.21,73.4,21.3,34.5,83.15,0
B2026-0296,28.94,5.96,23.54,440.9,1.29,2.61,68.7,26.4,41.0,84.99,1
B2026-0297,29.31,6.15,23.58,403.0,1.66,3.17,72.1,18.0,50.3,74.14,1
B2026-0298,29.4,5.81,30.85,410.5,1.47,3.47,64.8,21.6,52.1,78.12,0
B2026-0299,31.72,5.35,22.27,473.1,1.4,3.18,78.3,10.0,46.3,75.15,1
B2026-0300,31.26,5.32,38.74,418.2,1.13,3.25,68.9,19.8,34.9,83.08,1
