batch_id,product_id,organism,site,fermenter,start_date,raw_material_lot,supplier,planned_volume_L,estimated_batch_cost_usd,production_status
B2026-0203,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-05-31,RM-6466,Supplier_C,4000,58583.0,Quality Review
B2026-0204,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-13,RM-5992,Supplier_B,3000,54800.0,Quality Review
B2026-0205,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-22,RM-8708,Supplier_B,5000,53084.0,Released
B2026-0206,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-08,RM-3763,Supplier_B,4000,46820.0,Released
B2026-0207,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-08-05,RM-5529,Supplier_A,4000,57637.0,Released
B2026-0208,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-07-20,RM-6475,Supplier_C,4000,31643.0,Quality Review
B2026-0209,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-23,RM-7658,Supplier_A,4000,54488.0,Released
B2026-0210,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-02-16,RM-3988,Supplier_A,4000,68707.0,Quality Review
B2026-0211,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-03-17,RM-6702,Supplier_A,5000,42196.0,Released
B2026-0212,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-04-14,RM-5034,Supplier_C,4000,50431.0,Quality Review
B2026-0213,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-13,RM-5877,Supplier_A,4000,51949.0,Quality Review
B2026-0214,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-06-11,RM-8763,Supplier_A,4000,48993.0,Quality Review
B2026-0215,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-05-22,RM-4542,Supplier_A,4000,58736.0,Released
B2026-0216,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-07-13,RM-7012,Supplier_A,3000,55071.0,Released
B2026-0217,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-05-23,RM-9476,Supplier_A,4000,52990.0,Released
B2026-0218,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-03-25,RM-7860,Supplier_B,3000,57182.0,Released
B2026-0219,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-04-01,RM-9897,Supplier_A,4000,52109.0,Released
B2026-0220,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-04-24,RM-6250,Supplier_C,5000,72669.0,Released
B2026-0221,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-20,RM-3537,Supplier_C,4000,52984.0,Released
B2026-0222,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-06-13,RM-9921,Supplier_A,4000,53269.0,Released
B2026-0223,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-05-24,RM-6800,Supplier_A,4000,40882.0,Released
B2026-0224,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-06-10,RM-3172,Supplier_B,3000,48468.0,Quality Review
B2026-0225,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-04-28,RM-3854,Supplier_A,5000,59458.0,Quality Review
B2026-0226,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-06-22,RM-3360,Supplier_A,4000,43320.0,Released
B2026-0227,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-07-28,RM-8501,Supplier_C,3000,37976.0,Quality Review
B2026-0228,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-05-06,RM-1832,Supplier_C,3000,52210.0,Released
B2026-0229,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-04-08,RM-7658,Supplier_B,5000,60910.0,Quality Review
B2026-0230,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-24,RM-5985,Supplier_A,4000,52275.0,Released
B2026-0231,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-06-21,RM-1661,Supplier_B,4000,49815.0,Quality Review
B2026-0232,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-18,RM-6519,Supplier_B,3000,39920.0,Released
B2026-0233,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-06-03,RM-7777,Supplier_A,3000,54940.0,Quality Review
B2026-0234,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-07-10,RM-7532,Supplier_B,5000,56298.0,Released
B2026-0235,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-07-09,RM-5756,Supplier_A,3000,40419.0,Released
B2026-0236,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-06-25,RM-4018,Supplier_A,3000,59374.0,Quality Review
B2026-0237,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-04-21,RM-2474,Supplier_B,4000,56977.0,Released
B2026-0238,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-01-22,RM-1110,Supplier_A,5000,59360.0,Released
B2026-0239,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-01,RM-4235,Supplier_A,4000,55793.0,Released
B2026-0240,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-02-14,RM-6689,Supplier_C,3000,56249.0,Released
B2026-0241,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-04-05,RM-1338,Supplier_C,5000,55385.0,Released
B2026-0242,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-06-13,RM-9987,Supplier_B,4000,57645.0,Released
B2026-0243,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-04-11,RM-6272,Supplier_C,5000,40178.0,Released
B2026-0244,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-01-06,RM-3650,Supplier_C,5000,42243.0,Released
B2026-0245,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-02-16,RM-9657,Supplier_A,4000,47216.0,Released
B2026-0246,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-08-04,RM-2655,Supplier_A,4000,51156.0,Released
B2026-0247,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-08-06,RM-9617,Supplier_A,4000,54523.0,Quality Review
B2026-0248,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-03-24,RM-3535,Supplier_A,5000,54110.0,Released
B2026-0249,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-06-27,RM-4417,Supplier_B,5000,59261.0,Released
B2026-0250,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-06-08,RM-4828,Supplier_A,5000,59465.0,Released
B2026-0251,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-07-24,RM-9952,Supplier_A,4000,46329.0,Released
B2026-0252,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-07-15,RM-3257,Supplier_A,4000,53551.0,Quality Review
B2026-0253,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-05-19,RM-9754,Supplier_A,4000,46489.0,Released
B2026-0254,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-03-28,RM-4122,Supplier_C,4000,50776.0,Quality Review
B2026-0255,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-05-18,RM-3566,Supplier_A,4000,54092.0,Quality Review
B2026-0256,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-03-12,RM-6743,Supplier_A,5000,29843.0,Released
B2026-0257,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-03-18,RM-7243,Supplier_A,4000,67673.0,Released
B2026-0258,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-14,RM-4104,Supplier_A,3000,55682.0,Released
B2026-0259,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-06,RM-2206,Supplier_B,4000,48128.0,Quality Review
B2026-0260,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-05-08,RM-4564,Supplier_A,4000,64528.0,Quality Review
B2026-0261,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-03-26,RM-5863,Supplier_A,5000,49742.0,Released
B2026-0262,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-04-01,RM-1360,Supplier_A,4000,52861.0,Released
B2026-0263,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-01-03,RM-1707,Supplier_C,4000,48834.0,Released
B2026-0264,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-05-13,RM-9260,Supplier_B,4000,62738.0,Released
B2026-0265,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-05-07,RM-1322,Supplier_B,4000,51318.0,Released
B2026-0266,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-25,RM-4661,Supplier_B,3000,52972.0,Quality Review
B2026-0267,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-04-21,RM-7874,Supplier_B,5000,59825.0,Released
B2026-0268,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-04-13,RM-3952,Supplier_A,5000,55803.0,Released
B2026-0269,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-15,RM-5452,Supplier_A,4000,51647.0,Quality Review
B2026-0270,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-13,RM-1778,Supplier_B,4000,59218.0,Released
B2026-0271,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-03-16,RM-8149,Supplier_A,3000,68500.0,Released
B2026-0272,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-03-24,RM-6707,Supplier_C,4000,54063.0,Released
B2026-0273,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-03-21,RM-8664,Supplier_A,4000,52759.0,Released
B2026-0274,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-03-28,RM-8773,Supplier_B,5000,53109.0,Released
B2026-0275,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-06-19,RM-4156,Supplier_C,3000,60518.0,Released
B2026-0276,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-29,RM-1370,Supplier_B,5000,48105.0,Quality Review
B2026-0277,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-03-15,RM-4116,Supplier_C,4000,50191.0,Released
B2026-0278,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-02-05,RM-2307,Supplier_B,4000,42007.0,Released
B2026-0279,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-03-09,RM-5799,Supplier_C,4000,44305.0,Released
B2026-0280,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-05-31,RM-2317,Supplier_A,4000,48634.0,Released
B2026-0281,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-01-11,RM-9296,Supplier_A,4000,51636.0,Released
B2026-0282,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-03-16,RM-6419,Supplier_B,5000,63499.0,Quality Review
B2026-0283,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-06,RM-3277,Supplier_A,4000,55484.0,Released
B2026-0284,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-30,RM-9290,Supplier_A,3000,46071.0,Released
B2026-0285,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-06-09,RM-7926,Supplier_C,4000,47268.0,Released
B2026-0286,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-02-23,RM-4939,Supplier_B,4000,60936.0,Released
B2026-0287,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-13,RM-2318,Supplier_A,4000,59323.0,Released
B2026-0288,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-01-22,RM-4093,Supplier_A,4000,52183.0,Released
B2026-0289,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-04-15,RM-6255,Supplier_A,3000,49124.0,Released
B2026-0290,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-06-15,RM-7891,Supplier_A,4000,59312.0,Released
B2026-0291,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-05-09,RM-3357,Supplier_C,5000,45543.0,Quality Review
B2026-0292,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-13,RM-7682,Supplier_A,5000,54548.0,Released
B2026-0293,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-03-17,RM-3545,Supplier_A,3000,66772.0,Quality Review
B2026-0294,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-03-03,RM-3220,Supplier_B,4000,53335.0,Released
B2026-0295,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-04-16,RM-5022,Supplier_A,4000,46959.0,Released
B2026-0296,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-02-14,RM-2447,Supplier_A,3000,54667.0,Quality Review
B2026-0297,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-08-03,RM-4641,Supplier_B,4000,48945.0,Quality Review
B2026-0298,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-10,RM-4219,Supplier_B,3000,42938.0,Released
B2026-0299,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-04-16,RM-3520,Supplier_C,3000,56557.0,Quality Review
B2026-0300,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-04-25,RM-7979,Supplier_B,4000,59266.0,Quality Review
