batch_id,product_id,organism,site,fermenter,start_date,raw_material_lot,supplier,planned_volume_L,production_status,estimated_batch_cost_usd,temperature_C_avg,pH_avg,dissolved_oxygen_pct_avg,agitation_rpm_avg,airflow_vvm_avg,feed_rate_L_hr_avg,fermentation_time_hr,inoculum_age_hr,substrate_concentration_g_L,yield_pct,deviation_flag,sample_id,enzyme_activity_U_mL,protein_concentration_mg_mL,purity_pct,hplc_main_peak_pct,qc_status,analytical_method,instrument_id,analyst,predicted_quality_risk,anomaly_flag
B2026-0082,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-02-17,RM-2238,Supplier_C,5000,Released,53027.0,27.5,5.25,35.16,456.4,1.22,3.85,75.4,25.7,36.5,72.07,0,S00082,702.8,14.52,93.97,93.39,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.004,1
B2026-0083,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-04-24,RM-1478,Supplier_B,3000,Quality Review,48332.0,28.79,6.14,19.46,384.7,1.19,3.11,73.8,24.0,42.4,79.77,1,S00083,745.1,12.98,92.66,93.35,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,1.0,0
B2026-0084,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-04-02,RM-1040,Supplier_A,4000,Released,57090.0,30.32,6.33,26.21,432.7,1.33,3.18,70.2,16.3,44.5,87.47,0,S00084,958.2,15.07,93.23,92.75,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.034,0
B2026-0085,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-20,RM-4210,Supplier_A,4000,Released,50782.0,30.33,5.52,27.35,403.5,1.05,3.7,64.7,16.4,47.0,88.15,0,S00085,854.5,13.67,94.39,93.91,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.0,0
B2026-0086,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-03-11,RM-2736,Supplier_C,4000,Released,45549.0,29.19,5.91,29.08,457.0,1.01,2.94,72.5,19.7,37.2,86.91,0,S00086,827.3,12.19,91.49,91.74,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.0,0
B2026-0087,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-07-01,RM-1824,Supplier_B,5000,Quality Review,52428.0,29.5,5.55,20.99,446.1,1.24,3.17,76.9,18.2,39.9,82.88,1,S00087,808.5,13.58,92.34,93.59,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.996,0
B2026-0088,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-01-18,RM-3122,Supplier_C,3000,Released,53107.0,30.96,5.58,26.97,381.9,1.31,3.45,66.6,15.4,25.8,82.02,0,S00088,709.1,14.72,94.38,95.52,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.084,0
B2026-0089,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-09,RM-9773,Supplier_A,5000,Released,58075.0,29.66,6.07,26.17,410.7,1.26,3.95,74.9,18.2,38.3,86.46,0,S00089,807.2,15.1,91.56,91.81,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.016,0
B2026-0090,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-01-07,RM-8201,Supplier_C,4000,Quality Review,54555.0,31.57,5.79,38.17,477.4,1.05,3.07,73.5,18.1,38.9,84.45,1,S00090,866.6,14.04,94.79,95.11,Hold,HPLC-ENZ-204,HPLC-01,Analyst_C,0.97,0
B2026-0091,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-06-11,RM-1167,Supplier_B,5000,Released,54997.0,30.0,6.41,38.47,441.6,1.32,2.39,75.4,17.3,35.9,80.67,0,S00091,758.1,12.53,94.88,95.43,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.0,0
B2026-0092,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-03-18,RM-9238,Supplier_A,5000,Released,54082.0,30.29,5.63,30.83,343.2,1.07,2.35,75.9,18.7,43.0,86.16,0,S00092,801.3,12.22,93.17,92.29,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.0,0
B2026-0093,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-03-26,RM-2847,Supplier_B,5000,Released,50777.0,31.13,6.15,28.86,456.1,1.11,2.71,68.9,24.7,41.7,78.54,0,S00093,825.1,13.25,93.2,93.66,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.164,0
B2026-0094,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-01-05,RM-4653,Supplier_B,4000,Released,47345.0,30.09,5.83,33.12,360.3,1.03,2.68,64.7,20.8,28.4,85.64,0,S00094,893.9,14.68,94.91,94.39,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,0
B2026-0095,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-06-04,RM-3948,Supplier_A,4000,Released,53877.0,29.3,6.08,25.47,497.7,1.43,3.31,69.6,29.9,43.3,83.51,0,S00095,836.7,13.06,92.79,93.01,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.006,0
B2026-0096,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-02-06,RM-4644,Supplier_A,4000,Quality Review,49835.0,29.92,5.64,22.83,476.3,1.31,2.75,76.0,20.7,36.4,86.58,1,S00096,822.0,13.09,94.7,94.54,Hold,HPLC-ENZ-204,HPLC-02,Analyst_B,0.998,0
B2026-0097,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-26,RM-7845,Supplier_C,4000,Released,62984.0,29.98,5.78,24.48,435.9,1.31,3.01,69.6,18.8,44.9,87.39,0,S00097,839.5,12.57,92.93,93.28,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.16,0
B2026-0098,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-06-09,RM-7411,Supplier_A,4000,Released,60724.0,29.04,5.76,26.92,428.6,1.42,2.97,68.9,20.0,34.3,79.47,0,S00098,738.8,12.07,92.37,92.46,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.004,0
B2026-0099,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-07-05,RM-6345,Supplier_A,5000,Quality Review,56113.0,29.82,5.51,22.69,408.5,1.71,3.16,63.8,21.0,42.2,86.13,1,S00099,793.5,12.29,92.65,90.5,Hold,HPLC-ENZ-204,HPLC-02,Analyst_B,0.998,0
B2026-0100,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-06-05,RM-6641,Supplier_A,3000,Released,54460.0,29.48,6.03,33.3,457.3,0.89,4.13,79.9,21.7,40.3,81.04,0,S00100,742.9,12.68,93.52,93.64,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.022,0
B2026-0101,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-03-08,RM-7547,Supplier_A,5000,Released,51428.0,30.65,6.03,37.84,399.6,1.07,3.76,75.7,28.3,43.8,78.1,0,S00101,734.1,14.73,94.2,94.65,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.002,0
B2026-0102,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-06-12,RM-2657,Supplier_C,4000,Quality Review,43803.0,30.02,6.01,19.3,433.0,1.09,3.41,75.5,16.6,42.7,84.94,1,S00102,780.4,12.19,93.27,93.59,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,1.0,0
B2026-0103,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-07-01,RM-4560,Supplier_B,5000,Released,50595.0,29.8,6.34,32.2,468.0,1.05,3.15,76.4,23.4,40.5,83.73,0,S00103,745.1,12.57,91.85,91.78,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.0,0
B2026-0104,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-03-11,RM-1969,Supplier_A,3000,Released,52659.0,29.93,6.31,30.24,389.1,1.01,3.16,74.6,20.8,32.8,87.88,0,S00104,864.7,11.38,92.49,93.64,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.0,0
B2026-0105,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-01-28,RM-7336,Supplier_C,3000,Released,53491.0,30.16,5.67,34.73,386.1,1.15,3.58,70.9,13.7,33.1,85.0,0,S00105,838.1,13.43,93.97,94.19,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.042,0
B2026-0106,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-07-15,RM-4938,Supplier_C,5000,Released,55052.0,30.43,5.93,31.9,354.3,0.98,3.72,71.3,23.1,38.5,78.24,0,S00106,839.8,14.28,95.04,95.34,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.0,0
B2026-0107,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-02,RM-6734,Supplier_A,5000,Quality Review,57989.0,29.3,5.58,20.37,361.5,1.26,2.9,70.1,25.1,42.0,79.52,1,S00107,745.4,14.61,93.42,94.16,Hold,HPLC-ENZ-204,HPLC-02,Analyst_A,1.0,0
B2026-0108,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-05-11,RM-6082,Supplier_C,5000,Quality Review,47501.0,29.27,5.81,21.9,319.4,1.21,3.42,83.9,16.6,38.4,88.6,1,S00108,875.0,12.76,93.4,93.65,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.722,0
B2026-0109,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-21,RM-3462,Supplier_A,5000,Released,47560.0,30.77,5.59,32.24,460.1,1.29,2.28,74.5,20.0,45.8,81.22,0,S00109,805.7,13.25,94.04,93.41,Released,HPLC-ENZ-204,HPLC-01,Analyst_D,0.018,0
B2026-0110,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-01-28,RM-2248,Supplier_C,4000,Released,61431.0,29.71,6.37,40.23,519.5,1.29,3.52,69.9,13.1,40.3,84.7,0,S00110,813.2,12.3,93.18,91.48,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.048,0
B2026-0111,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-06-20,RM-9755,Supplier_B,5000,Quality Review,57011.0,29.01,5.93,14.29,498.4,1.31,3.82,74.1,15.0,36.2,72.39,1,S00111,741.2,13.19,91.79,91.45,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,0.974,1
B2026-0112,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-01,RM-3639,Supplier_B,4000,Released,49460.0,30.31,5.72,34.77,330.6,1.13,3.25,67.5,24.2,40.3,84.37,0,S00112,856.4,12.91,92.29,92.82,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.0,0
B2026-0113,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-05-28,RM-1985,Supplier_A,4000,Quality Review,51303.0,30.32,6.22,41.52,459.9,1.58,4.4,78.8,18.1,43.4,83.42,1,S00113,827.2,12.58,95.03,94.78,Hold,HPLC-ENZ-204,HPLC-03,Analyst_D,0.952,0
B2026-0114,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-06-02,RM-3753,Supplier_C,4000,Released,51332.0,28.93,5.04,30.78,498.2,1.24,2.92,69.0,15.6,43.9,80.93,0,S00114,777.3,12.68,90.05,90.61,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.018,0
B2026-0115,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-14,RM-9120,Supplier_A,3000,Released,52205.0,30.16,5.1,36.4,394.9,0.86,3.52,74.3,20.9,53.3,86.93,0,S00115,829.8,13.09,94.65,94.75,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.02,1
B2026-0116,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-02-08,RM-3351,Supplier_A,4000,Released,55072.0,30.51,6.08,26.38,425.6,1.02,3.38,76.8,17.9,38.0,83.39,0,S00116,750.7,12.12,92.78,93.68,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.01,0
B2026-0117,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-06-24,RM-9880,Supplier_A,5000,Quality Review,68477.0,30.26,5.82,31.05,309.6,0.89,3.34,73.7,18.1,41.6,83.73,1,S00117,779.2,12.18,92.88,92.67,Hold,HPLC-ENZ-204,HPLC-01,Analyst_B,0.7,0
B2026-0118,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-04-22,RM-5146,Supplier_B,3000,Quality Review,53233.0,30.44,5.89,19.03,434.7,1.2,3.34,72.4,23.0,44.6,81.23,1,S00118,763.7,14.72,95.15,95.48,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,1.0,0
B2026-0119,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-27,RM-8755,Supplier_A,5000,Quality Review,56307.0,29.02,5.34,13.25,361.5,1.18,3.46,72.0,15.4,41.9,76.01,1,S00119,691.5,16.02,91.74,92.1,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.96,0
B2026-0120,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-08-07,RM-6876,Supplier_C,4000,Released,41038.0,30.23,5.79,39.54,431.0,1.12,3.87,71.7,16.4,39.0,86.74,0,S00120,863.9,10.93,92.86,93.91,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,0
B2026-0121,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-02-28,RM-1395,Supplier_B,3000,Quality Review,48848.0,29.79,6.5,24.12,334.1,1.56,4.16,69.4,20.6,32.7,88.49,1,S00121,914.5,10.86,93.69,92.5,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,0.442,1
B2026-0122,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-01-01,RM-5583,Supplier_A,4000,Released,59987.0,29.66,6.09,28.36,449.9,1.3,3.4,70.0,23.9,38.9,89.97,0,S00122,833.8,11.26,94.49,94.17,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.0,0
B2026-0123,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-07-23,RM-4751,Supplier_A,3000,Quality Review,54615.0,30.61,5.86,20.91,476.3,1.33,3.85,78.7,25.0,35.6,84.37,1,S00123,834.2,12.37,92.91,93.5,Hold,HPLC-ENZ-204,HPLC-01,Analyst_B,0.996,0
B2026-0124,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-01-04,RM-2812,Supplier_A,3000,Quality Review,23471.0,31.04,5.65,20.72,376.9,1.03,3.01,71.5,17.3,31.6,82.25,1,S00124,754.8,13.66,91.34,92.42,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,0.998,0
B2026-0125,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-05-02,RM-5949,Supplier_B,4000,Quality Review,56381.0,31.26,5.66,30.61,357.5,1.02,3.82,68.5,23.7,37.2,73.49,1,S00125,704.5,13.27,91.31,91.48,Hold,HPLC-ENZ-204,HPLC-01,Analyst_B,0.844,0
B2026-0126,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-08-07,RM-1926,Supplier_C,3000,Quality Review,64468.0,30.92,5.05,26.16,301.4,1.21,2.98,69.7,16.9,35.7,76.94,1,S00126,719.8,12.72,94.23,94.03,Hold,HPLC-ENZ-204,HPLC-02,Analyst_A,0.818,0
B2026-0127,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-05-08,RM-7283,Supplier_A,3000,Released,39027.0,29.92,5.89,35.02,405.3,1.23,4.0,77.0,27.3,45.5,89.53,0,S00127,897.6,13.19,94.04,94.57,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.0,0
B2026-0128,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-05-09,RM-8396,Supplier_C,5000,Quality Review,61876.0,30.25,6.1,35.62,388.0,0.87,4.62,75.0,15.5,45.6,82.0,1,S00128,768.4,11.6,93.74,94.35,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.946,0
B2026-0129,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-03-27,RM-1832,Supplier_A,3000,Released,33982.0,30.54,5.25,34.57,334.7,1.17,3.33,74.5,25.3,36.6,81.99,0,S00129,844.4,12.18,92.89,92.63,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.0,0
B2026-0130,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-01-28,RM-5313,Supplier_C,5000,Released,58097.0,30.08,5.57,33.91,444.9,1.2,2.19,70.8,17.4,40.4,84.29,0,S00130,809.7,12.47,92.64,92.87,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.0,0
B2026-0131,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-05-06,RM-6895,Supplier_C,5000,Released,51944.0,30.09,5.39,44.62,395.3,1.16,3.1,74.6,28.1,30.9,81.58,0,S00131,765.7,10.44,95.17,96.0,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.002,0
B2026-0132,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-07-17,RM-1559,Supplier_B,3000,Quality Review,36725.0,30.58,5.46,23.46,360.8,1.05,4.08,69.1,22.4,39.0,74.89,1,S00132,675.0,10.99,92.26,93.59,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,0.934,0
B2026-0133,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-01-21,RM-4503,Supplier_B,4000,Released,54900.0,29.96,5.82,31.56,389.5,1.1,3.7,70.8,15.9,44.4,84.43,0,S00133,833.4,11.04,92.91,93.43,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.0,0
B2026-0134,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-07-13,RM-3322,Supplier_C,3000,Released,59480.0,29.49,5.07,41.06,478.9,1.17,3.54,76.4,17.9,46.9,80.78,0,S00134,827.7,13.49,94.39,94.42,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.02,0
B2026-0135,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-04-02,RM-1353,Supplier_A,4000,Released,54365.0,29.71,6.01,42.12,453.2,1.22,3.95,75.9,23.1,37.7,82.61,0,S00135,817.0,12.82,92.39,92.36,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.0,0
B2026-0136,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-04-28,RM-8235,Supplier_A,3000,Quality Review,55801.0,30.44,6.06,20.63,412.8,1.31,3.67,67.6,24.2,48.3,82.14,1,S00136,901.1,13.29,92.5,92.89,Hold,HPLC-ENZ-204,HPLC-02,Analyst_C,0.972,0
B2026-0137,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-02-06,RM-5001,Supplier_A,5000,Released,49324.0,30.0,5.71,29.5,454.1,1.39,4.07,68.2,19.7,32.9,87.23,0,S00137,913.0,10.11,93.74,93.65,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.004,0
B2026-0138,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-05-17,RM-7764,Supplier_B,4000,Released,39901.0,30.24,4.93,42.86,356.1,1.15,3.91,72.5,20.2,34.5,80.26,0,S00138,768.6,10.57,93.03,93.16,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.026,0
B2026-0139,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-10,RM-6283,Supplier_B,4000,Released,56497.0,30.47,5.45,36.06,421.8,1.12,4.24,79.8,23.0,46.3,78.93,0,S00139,755.5,13.36,93.2,92.46,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.108,0
B2026-0140,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-03-02,RM-8881,Supplier_B,3000,Released,63373.0,29.74,6.23,33.56,428.1,1.28,3.6,63.4,20.5,52.0,84.01,0,S00140,839.2,8.89,95.91,96.82,Released,HPLC-ENZ-204,HPLC-01,Analyst_C,0.002,0
B2026-0141,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-06-08,RM-9972,Supplier_C,4000,Released,59342.0,30.53,4.83,30.26,394.2,1.31,3.9,73.3,14.8,45.0,79.25,0,S00141,735.2,14.09,93.33,92.53,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.014,0
B2026-0142,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-01-12,RM-6418,Supplier_A,4000,Released,39079.0,30.27,5.68,28.93,444.0,1.12,3.23,65.8,16.7,41.8,87.01,0,S00142,899.1,10.13,90.85,90.54,Released,HPLC-ENZ-204,HPLC-02,Analyst_A,0.0,0
B2026-0143,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-04-09,RM-4169,Supplier_B,4000,Released,42153.0,29.14,5.39,34.31,377.1,1.34,3.07,69.1,20.9,28.8,80.61,0,S00143,802.0,13.6,93.45,93.52,Released,HPLC-ENZ-204,HPLC-02,Analyst_A,0.0,0
B2026-0144,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-05-11,RM-4805,Supplier_A,5000,Quality Review,46501.0,31.01,6.08,29.98,448.0,1.38,4.34,70.4,24.9,29.9,81.49,1,S00144,805.7,11.34,93.19,94.59,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,0.902,0
B2026-0145,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-01-30,RM-8427,Supplier_A,3000,Released,41646.0,29.65,5.56,31.66,450.4,1.43,3.52,70.1,26.5,42.8,86.15,0,S00145,869.3,13.86,93.67,93.37,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.002,0
B2026-0146,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-03-06,RM-4839,Supplier_B,3000,Released,52287.0,28.84,5.94,32.63,259.6,1.52,3.84,69.6,23.1,39.9,80.04,0,S00146,857.9,16.67,93.3,92.83,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.294,0
B2026-0147,ENZ-AN-001,Aspergillus niger,Wilmington,F-04,2026-03-17,RM-5677,Supplier_C,4000,Released,54557.0,29.27,6.0,26.58,485.5,1.04,3.47,72.0,21.1,35.4,82.48,0,S00147,811.2,9.54,93.21,92.83,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.006,0
B2026-0148,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-05-26,RM-2745,Supplier_B,4000,Released,42703.0,29.29,6.44,36.26,252.4,1.2,3.08,69.6,23.0,42.4,76.62,0,S00148,742.8,13.4,92.6,93.76,Released,HPLC-ENZ-204,HPLC-02,Analyst_B,0.178,0
B2026-0149,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-08-03,RM-9909,Supplier_A,5000,Released,57051.0,30.04,5.73,55.31,386.1,1.2,3.41,65.4,17.3,42.7,90.37,0,S00149,946.5,10.15,94.77,92.8,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,0
B2026-0150,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-07-03,RM-6856,Supplier_B,5000,Quality Review,55907.0,29.81,5.93,17.78,476.4,1.18,4.19,75.5,19.4,47.7,81.47,1,S00150,837.5,13.05,92.5,91.79,Hold,HPLC-ENZ-204,HPLC-02,Analyst_A,0.992,0
B2026-0151,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-02-11,RM-3971,Supplier_A,5000,Released,48437.0,29.76,5.28,34.59,402.5,1.08,3.71,75.4,16.7,42.8,86.87,0,S00151,830.8,12.23,92.55,94.46,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.0,0
B2026-0152,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-01-04,RM-6265,Supplier_C,3000,Released,50879.0,30.43,6.22,25.92,339.4,0.93,2.46,75.8,15.0,49.4,81.77,0,S00152,797.1,12.67,96.81,97.22,Released,HPLC-ENZ-204,HPLC-01,Analyst_B,0.016,0
B2026-0153,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-01-12,RM-4609,Supplier_B,4000,Released,39326.0,30.24,5.53,36.62,359.8,1.22,3.28,65.1,21.3,42.0,84.47,0,S00153,831.3,11.31,92.59,91.81,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.0,0
B2026-0154,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-05-12,RM-2393,Supplier_A,5000,Quality Review,49840.0,30.22,5.6,32.37,476.5,1.06,4.38,73.3,20.7,41.3,88.53,1,S00154,877.3,13.51,93.97,93.94,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,0.922,0
B2026-0155,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-04,RM-8871,Supplier_A,4000,Released,52048.0,30.29,5.79,38.09,314.3,1.22,3.28,75.0,22.8,48.4,91.56,0,S00155,828.8,10.62,92.36,92.41,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.134,0
B2026-0156,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-02-20,RM-8970,Supplier_A,4000,Released,53097.0,30.43,5.25,41.4,482.1,1.06,2.41,67.4,22.2,36.1,85.81,0,S00156,765.8,14.11,93.72,94.31,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.002,0
B2026-0157,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-06,RM-8513,Supplier_C,4000,Quality Review,54463.0,28.52,5.88,33.54,417.0,1.0,4.44,72.0,21.0,58.9,78.27,1,S00157,723.6,11.97,91.71,92.99,Hold,HPLC-ENZ-204,HPLC-01,Analyst_D,0.854,1
B2026-0158,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-07-12,RM-4315,Supplier_A,4000,Released,53588.0,29.74,6.14,41.06,354.4,1.24,3.78,71.5,22.2,44.3,91.0,0,S00158,841.1,10.68,93.57,93.84,Released,HPLC-ENZ-204,HPLC-02,Analyst_D,0.0,0
B2026-0159,ENZ-AN-001,Aspergillus niger,Rochester,F-01,2026-07-04,RM-3307,Supplier_B,5000,Quality Review,50282.0,28.47,5.9,13.25,387.9,1.23,3.36,80.3,19.8,44.3,75.04,1,S00159,703.9,14.57,93.76,93.38,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,0.964,0
B2026-0160,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-02,2026-02-25,RM-1447,Supplier_B,4000,Released,53860.0,30.03,5.24,44.72,364.1,1.3,3.2,80.7,21.7,45.2,84.01,0,S00160,846.6,12.41,93.97,94.52,Released,HPLC-ENZ-204,HPLC-02,Analyst_C,0.002,0
B2026-0161,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-05-17,RM-7583,Supplier_B,5000,Released,58513.0,30.0,5.76,35.0,467.6,1.59,4.0,64.5,17.1,53.3,85.3,0,S00161,822.7,14.98,94.21,93.72,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.008,0
B2026-0162,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-01,2026-05-15,RM-3950,Supplier_A,4000,Released,51379.0,30.73,6.06,40.62,460.3,1.25,3.1,83.2,21.5,46.8,84.24,0,S00162,829.1,14.09,91.3,90.58,Released,HPLC-ENZ-204,HPLC-03,Analyst_D,0.016,0
B2026-0163,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-10,RM-9029,Supplier_C,3000,Quality Review,54064.0,30.83,5.14,22.24,325.4,1.29,4.03,67.9,22.7,32.4,77.2,1,S00163,698.3,11.46,94.92,93.69,Hold,HPLC-ENZ-204,HPLC-03,Analyst_C,0.994,0
