batch_id,hour,pH,temperature_C,dissolved_oxygen_pct,feed_rate_L_hr,biomass_g_L
B2026-0037,66,5.44,29.63,30.17,3.37,32.16
B2026-0037,72,5.4,29.33,28.35,3.48,34.96
B2026-0038,0,5.92,31.65,52.41,1.01,4.69
B2026-0038,6,5.85,31.56,50.04,1.02,12.26
B2026-0038,12,5.9,31.69,45.32,1.17,19.61
B2026-0038,18,5.82,31.36,49.01,1.42,24.39
B2026-0038,24,5.85,31.37,43.48,1.39,26.57
B2026-0038,30,5.62,31.55,42.91,1.67,28.99
B2026-0038,36,5.71,31.27,40.9,1.95,28.13
B2026-0038,42,5.66,31.19,38.67,1.9,34.14
B2026-0038,48,5.51,31.19,37.59,2.15,30.59
B2026-0038,54,5.57,31.14,33.67,2.3,34.66
B2026-0038,60,5.58,31.61,33.85,2.24,34.48
B2026-0038,66,5.54,31.63,33.5,2.56,33.42
B2026-0038,72,5.53,31.23,28.69,2.98,33.79
B2026-0039,0,5.83,30.07,30.06,1.2,2.28
B2026-0039,6,5.98,29.84,30.35,1.59,12.01
B2026-0039,12,5.79,30.06,28.9,1.5,19.91
B2026-0039,18,5.77,29.69,24.92,1.8,22.9
B2026-0039,24,5.69,29.77,22.67,2.07,29.19
B2026-0039,30,5.72,30.11,20.91,2.37,31.78
B2026-0039,36,5.62,29.82,21.08,2.52,31.87
B2026-0039,42,5.64,30.03,19.84,3.06,31.83
B2026-0039,48,5.52,30.16,13.42,2.97,33.69
B2026-0039,54,5.62,29.87,16.89,3.14,32.71
B2026-0039,60,5.37,29.96,10.21,3.47,34.67
B2026-0039,66,5.51,29.82,12.87,3.92,33.88
B2026-0039,72,5.33,29.93,11.37,4.2,34.9
B2026-0040,0,5.77,29.21,45.65,1.06,3.56
B2026-0040,6,5.76,29.24,41.24,1.22,12.29
B2026-0040,12,5.86,29.26,39.21,1.71,21.11
B2026-0040,18,5.65,28.73,40.76,1.9,25.98
B2026-0040,24,5.62,29.37,34.87,1.93,26.2
B2026-0040,30,5.7,29.3,39.65,2.03,30.44
B2026-0040,36,5.62,28.86,32.02,2.53,30.53
B2026-0040,42,5.47,29.07,35.3,2.61,29.67
B2026-0040,48,5.62,29.26,32.32,2.8,33.39
B2026-0040,54,5.4,29.15,28.74,3.04,31.7
B2026-0040,60,5.36,29.35,29.94,3.28,30.88
B2026-0040,66,5.35,29.18,28.63,3.21,34.52
B2026-0040,72,5.36,29.3,25.34,3.42,32.94
B2026-0041,0,6.88,30.16,56.55,0.68,6.14
B2026-0041,6,6.91,30.18,57.11,0.68,14.94
B2026-0041,12,6.87,30.06,56.58,1.02,17.37
B2026-0041,18,6.89,30.46,58.2,1.08,19.8
B2026-0041,24,6.68,30.28,53.59,1.25,27.81
B2026-0041,30,6.83,30.02,53.25,1.44,28.2
B2026-0041,36,6.66,30.11,52.85,1.83,31.46
B2026-0041,42,6.73,29.89,51.95,1.62,32.59
B2026-0041,48,6.66,30.06,54.13,2.02,34.61
B2026-0041,54,6.62,30.31,44.86,2.15,31.97
B2026-0041,60,6.5,30.13,48.61,1.99,33.13
B2026-0041,66,6.5,30.02,46.27,2.68,34.84
B2026-0041,72,6.4,29.85,42.33,2.3,35.13
B2026-0042,0,6.28,29.18,51.03,1.0,3.82
B2026-0042,6,6.25,29.38,48.03,1.35,14.36
B2026-0042,12,6.13,29.38,45.7,1.68,16.58
B2026-0042,18,6.07,29.37,37.01,1.77,25.19
B2026-0042,24,6.05,29.18,38.58,1.85,26.09
B2026-0042,30,6.0,29.14,38.6,2.09,31.96
B2026-0042,36,5.98,29.3,36.41,2.26,28.25
B2026-0042,42,5.87,29.07,36.34,2.67,29.31
B2026-0042,48,5.89,29.04,33.86,2.87,32.18
B2026-0042,54,5.88,29.46,33.72,2.86,33.69
B2026-0042,60,5.79,29.31,32.26,2.99,34.16
B2026-0042,66,5.79,29.33,31.3,3.42,33.75
B2026-0042,72,5.81,29.12,25.42,3.19,34.33
B2026-0043,0,6.41,29.53,42.6,0.94,4.71
B2026-0043,6,6.36,29.54,43.85,1.21,13.68
B2026-0043,12,6.43,29.49,41.75,1.35,20.04
B2026-0043,18,6.27,29.45,41.02,1.59,22.08
B2026-0043,24,6.18,29.55,42.14,1.58,27.38
B2026-0043,30,6.32,29.56,37.79,1.87,29.27
B2026-0043,36,6.23,29.49,36.68,2.05,31.44
B2026-0043,42,6.2,29.5,35.68,2.57,31.06
B2026-0043,48,6.2,29.36,36.09,2.71,32.41
B2026-0043,54,6.19,29.54,30.54,2.71,35.16
B2026-0043,60,6.1,29.32,30.43,2.98,33.13
B2026-0043,66,6.14,29.51,29.0,3.29,33.66
B2026-0043,72,6.02,29.22,26.64,3.47,36.79
B2026-0044,0,5.93,30.14,51.52,1.42,3.6
B2026-0044,6,5.99,30.2,44.87,1.62,12.8
B2026-0044,12,5.78,30.23,44.43,2.26,22.33
B2026-0044,18,5.79,30.32,43.71,2.31,26.3
B2026-0044,24,5.78,30.24,42.17,2.77,21.93
B2026-0044,30,5.74,30.27,41.15,3.02,30.95
B2026-0044,36,5.64,30.59,38.04,3.35,31.03
B2026-0044,42,5.66,30.22,39.23,3.51,30.61
B2026-0044,48,5.63,30.16,35.29,3.67,31.12
B2026-0044,54,5.58,30.34,36.38,4.29,30.14
B2026-0044,60,5.59,30.28,36.18,4.42,33.65
B2026-0044,66,5.53,30.17,34.2,4.4,35.37
B2026-0044,72,5.48,30.2,30.92,4.89,36.38
B2026-0045,0,6.28,30.57,52.03,0.94,5.01
B2026-0045,6,5.99,30.2,51.45,1.12,10.37
B2026-0045,12,5.96,30.47,50.08,1.36,16.97
B2026-0045,18,6.1,30.16,44.36,1.35,21.89
B2026-0045,24,5.92,30.38,46.44,1.42,27.48
B2026-0045,30,5.86,30.55,44.89,1.57,26.61
B2026-0045,36,5.82,30.2,40.96,1.91,28.14
B2026-0045,42,5.88,30.41,41.99,1.89,33.14
B2026-0045,48,5.75,30.29,40.9,1.97,30.39
B2026-0045,54,5.64,30.44,38.91,2.47,32.08
B2026-0045,60,5.7,30.37,35.45,2.55,33.8
B2026-0045,66,5.59,30.4,35.49,2.65,33.59
B2026-0045,72,5.51,30.4,32.56,2.71,34.07
B2026-0046,0,5.94,29.59,28.96,0.84,4.95
B2026-0046,6,5.71,29.68,24.69,0.92,12.02
B2026-0046,12,5.95,29.82,28.27,1.3,16.29
B2026-0046,18,5.78,29.48,23.64,1.45,22.89
B2026-0046,24,5.79,29.27,23.84,1.5,26.21
B2026-0046,30,5.71,29.4,22.43,1.76,28.15
B2026-0046,36,5.62,29.54,18.98,1.96,30.39
B2026-0046,42,5.57,29.8,19.77,2.08,32.21
B2026-0046,48,5.51,29.5,16.71,2.15,33.43
B2026-0046,54,5.49,29.51,14.63,2.83,32.46
B2026-0046,60,5.36,29.32,15.71,2.81,32.87
B2026-0046,66,5.52,29.68,12.22,2.79,34.48
B2026-0046,72,5.45,29.62,9.67,2.98,37.4
B2026-0047,0,5.24,30.82,33.62,1.44,4.16
B2026-0047,6,5.23,30.8,31.49,1.59,13.37
B2026-0047,12,5.13,30.64,34.73,1.75,20.52
B2026-0047,18,5.05,30.71,32.93,2.09,22.51
B2026-0047,24,5.05,30.56,27.98,2.41,27.81
B2026-0047,30,4.93,30.42,24.17,2.55,31.42
B2026-0047,36,4.88,30.54,23.87,2.94,28.53
B2026-0047,42,5.05,30.54,21.07,3.25,33.06
B2026-0047,48,4.92,30.57,19.22,3.52,33.97
B2026-0047,54,4.78,30.99,16.77,3.81,31.72
B2026-0047,60,4.73,30.56,14.77,4.03,32.43
B2026-0047,66,4.81,30.57,13.34,4.3,35.7
B2026-0047,72,4.73,30.68,10.68,4.47,32.51
B2026-0048,0,5.75,30.89,45.96,1.38,2.76
B2026-0048,6,5.57,30.88,45.52,1.98,14.66
B2026-0048,12,5.66,30.91,43.67,2.08,18.56
B2026-0048,18,5.64,30.87,43.46,2.3,26.21
B2026-0048,24,5.42,31.09,40.98,2.39,25.7
B2026-0048,30,5.36,30.91,37.69,2.85,30.85
B2026-0048,36,5.38,30.77,35.58,3.06,34.67
B2026-0048,42,5.42,30.77,35.38,3.38,32.19
B2026-0048,48,5.31,30.89,33.11,3.55,33.4
B2026-0048,54,5.22,30.92,33.4,3.72,33.62
B2026-0048,60,5.15,30.91,31.35,4.44,35.5
B2026-0048,66,5.15,30.51,28.76,4.35,36.95
B2026-0048,72,5.17,30.95,28.11,4.75,34.38
B2026-0049,0,5.58,31.05,38.17,1.24,3.56
B2026-0049,6,5.45,30.58,39.97,1.26,12.94
B2026-0049,12,5.41,30.92,36.38,1.5,20.04
B2026-0049,18,5.38,31.15,35.37,1.58,23.89
B2026-0049,24,5.27,31.04,30.86,1.72,23.8
B2026-0049,30,5.3,31.25,32.13,2.12,32.67
B2026-0049,36,5.29,30.89,29.53,2.24,29.86
B2026-0049,42,5.19,31.15,31.25,2.24,30.77
B2026-0049,48,5.16,31.1,29.9,2.97,32.15
B2026-0049,54,5.12,31.09,24.67,2.82,32.83
B2026-0049,60,4.94,31.02,24.08,3.19,33.9
B2026-0049,66,4.98,30.97,18.68,3.09,35.16
B2026-0049,72,5.0,31.14,17.35,3.41,33.72
B2026-0050,0,5.42,30.47,57.78,1.25,3.45
B2026-0050,6,5.4,30.21,52.75,1.36,10.53
B2026-0050,12,5.31,30.39,55.47,1.47,19.17
B2026-0050,18,5.27,30.27,50.33,1.74,23.55
B2026-0050,24,5.17,30.36,53.35,1.83,26.12
B2026-0050,30,5.05,30.36,49.89,2.19,29.31
B2026-0050,36,5.17,30.48,49.22,2.41,33.16
B2026-0050,42,5.06,30.17,46.74,2.59,34.35
B2026-0050,48,5.11,30.66,45.07,2.72,30.77
B2026-0050,54,5.01,30.29,42.67,2.91,34.16
B2026-0050,60,4.94,30.51,35.22,3.13,35.7
B2026-0050,66,5.02,30.48,42.45,3.33,34.21
B2026-0050,72,4.89,30.37,35.93,3.45,32.76
B2026-0051,0,5.76,30.96,42.76,1.24,4.76
B2026-0051,6,5.74,30.78,39.32,1.67,10.72
B2026-0051,12,5.68,31.2,43.55,1.9,20.15
B2026-0051,18,5.74,30.6,37.8,2.16,23.09
B2026-0051,24,5.64,30.95,37.41,2.27,26.04
B2026-0051,30,5.49,31.0,34.01,2.67,30.12
B2026-0051,36,5.55,30.79,30.58,2.8,35.15
B2026-0051,42,5.52,30.87,33.24,3.14,29.94
B2026-0051,48,5.48,30.93,30.63,3.31,34.56
B2026-0051,54,5.31,30.7,29.87,3.31,33.0
B2026-0051,60,5.39,31.04,29.73,3.88,37.51
B2026-0051,66,5.24,31.01,25.19,4.17,34.12
B2026-0051,72,5.33,30.87,27.29,4.37,34.38
B2026-0052,0,6.65,28.72,31.24,0.72,2.95
B2026-0052,6,6.55,28.43,30.62,0.74,12.46
B2026-0052,12,6.57,28.81,23.81,1.01,19.77
B2026-0052,18,6.49,28.89,24.13,0.92,24.81
B2026-0052,24,6.41,28.42,23.87,1.46,24.93
B2026-0052,30,6.55,28.56,22.78,1.3,29.21
B2026-0052,36,6.36,28.46,26.68,1.53,30.06
B2026-0052,42,6.38,28.96,21.69,1.59,32.31
B2026-0052,48,6.17,28.82,14.59,1.78,32.84
B2026-0052,54,6.27,28.64,19.31,2.1,34.42
B2026-0052,60,6.12,28.94,13.08,2.36,36.93
B2026-0052,66,6.19,28.84,6.94,2.27,35.86
B2026-0052,72,6.17,28.5,10.94,2.13,35.05
B2026-0053,0,6.02,29.95,38.22,0.77,4.78
B2026-0053,6,6.08,29.81,31.98,1.06,10.33
B2026-0053,12,5.94,29.76,32.27,1.18,18.11
B2026-0053,18,6.12,29.8,31.57,1.33,25.1
B2026-0053,24,6.0,29.84,30.99,1.25,24.15
B2026-0053,30,5.92,29.75,29.1,1.63,30.02
B2026-0053,36,5.81,29.78,23.67,1.83,27.99
B2026-0053,42,5.86,29.56,24.01,2.05,32.33
B2026-0053,48,5.7,29.68,20.19,1.9,33.02
B2026-0053,54,5.79,29.84,22.81,2.26,33.05
B2026-0053,60,5.65,29.71,17.38,2.31,34.03
B2026-0053,66,5.67,30.24,15.75,2.56,32.07
B2026-0053,72,5.61,29.73,18.55,2.68,34.15
B2026-0054,0,6.58,29.18,22.7,1.09,4.11
B2026-0054,6,6.59,29.36,21.91,1.15,13.6
B2026-0054,12,6.48,29.51,23.47,1.55,17.55
B2026-0054,18,6.48,29.45,18.62,1.72,24.44
B2026-0054,24,6.46,29.34,14.36,2.06,25.68
B2026-0054,30,6.41,29.42,12.31,2.23,29.92
B2026-0054,36,6.39,29.41,10.55,2.59,31.42
B2026-0054,42,6.24,29.27,13.38,2.73,31.26
B2026-0054,48,6.32,29.12,9.25,2.62,31.5
B2026-0054,54,6.32,29.7,10.22,3.01,33.12
B2026-0054,60,6.21,29.16,7.02,3.47,32.33
B2026-0054,66,6.1,29.4,7.15,3.44,34.32
B2026-0054,72,6.14,29.69,5.0,3.73,36.72
B2026-0055,0,6.26,29.88,44.63,1.62,4.54
B2026-0055,6,6.25,29.87,42.43,1.92,10.94
B2026-0055,12,6.2,30.03,39.56,2.09,19.75
B2026-0055,18,6.19,29.94,36.09,2.37,22.84
B2026-0055,24,6.24,30.37,41.78,2.51,27.68
B2026-0055,30,6.14,30.2,35.5,3.06,29.15
B2026-0055,36,6.05,29.85,35.92,3.16,31.5
B2026-0055,42,6.02,30.11,32.95,3.57,31.7
B2026-0055,48,5.87,30.17,29.84,3.6,31.31
B2026-0055,54,5.94,30.07,25.61,3.99,35.21
B2026-0055,60,5.85,30.06,30.38,4.42,35.43
B2026-0055,66,5.67,30.34,27.98,4.9,33.03
B2026-0055,72,5.69,30.08,24.58,4.97,36.04
B2026-0056,0,6.42,29.56,45.54,1.08,3.49
B2026-0056,6,6.44,29.79,45.08,1.3,9.58
B2026-0056,12,6.33,29.49,41.07,1.45,19.05
B2026-0056,18,6.24,29.41,42.19,1.62,23.6
B2026-0056,24,6.31,29.74,39.75,1.99,27.91
B2026-0056,30,6.3,29.66,32.9,2.1,30.19
B2026-0056,36,6.14,29.84,34.87,2.38,32.49
B2026-0056,42,6.12,29.63,35.21,2.4,31.57
B2026-0056,48,6.14,29.61,34.76,2.6,30.31
B2026-0056,54,6.1,29.73,29.86,3.05,34.57
B2026-0056,60,5.96,29.49,29.04,3.32,32.15
B2026-0056,66,5.95,29.56,27.91,3.42,33.39
B2026-0056,72,6.0,29.52,24.91,3.44,33.36
B2026-0057,0,5.87,29.93,43.8,1.28,7.13
B2026-0057,6,5.75,29.64,38.92,1.36,11.33
B2026-0057,12,5.76,30.07,42.52,1.73,22.3
B2026-0057,18,5.69,29.64,39.96,1.68,22.46
B2026-0057,24,5.7,29.87,35.89,1.99,26.81
B2026-0057,30,5.69,29.89,33.03,2.21,27.93
B2026-0057,36,5.61,29.94,31.5,2.33,31.43
B2026-0057,42,5.49,29.99,30.01,2.7,32.22
B2026-0057,48,5.64,30.0,30.21,3.1,30.22
B2026-0057,54,5.39,29.51,31.81,3.47,34.05
B2026-0057,60,5.43,29.65,26.33,3.73,34.09
B2026-0057,66,5.34,29.62,27.95,3.74,31.57
B2026-0057,72,5.28,29.69,23.34,4.0,33.68
B2026-0058,0,6.38,31.33,56.76,1.37,8.57
B2026-0058,6,6.26,31.18,51.0,1.65,10.21
B2026-0058,12,6.27,31.03,51.79,1.78,18.51
B2026-0058,18,6.24,31.66,47.73,2.19,22.51
B2026-0058,24,6.11,31.21,49.95,2.42,30.2
B2026-0058,30,6.15,31.17,45.98,2.65,30.34
B2026-0058,36,5.99,31.12,43.95,3.1,32.65
B2026-0058,42,6.12,31.4,43.38,3.38,30.28
B2026-0058,48,5.89,31.38,39.95,3.55,33.03
B2026-0058,54,5.97,31.46,42.05,3.85,32.79
B2026-0058,60,5.92,31.23,38.4,4.4,34.17
B2026-0058,66,5.9,31.21,39.25,4.45,35.36
B2026-0058,72,5.85,31.47,38.17,4.66,34.26
B2026-0059,0,6.46,29.75,54.15,1.59,1.39
B2026-0059,6,6.41,29.74,53.06,1.87,12.85
B2026-0059,12,6.3,29.87,52.3,2.15,17.92
B2026-0059,18,6.34,29.57,50.43,2.45,24.22
B2026-0059,24,6.15,29.81,49.05,2.94,27.33
B2026-0059,30,6.13,29.81,49.44,2.97,29.03
B2026-0059,36,6.15,29.82,51.48,3.37,31.48
B2026-0059,42,6.07,29.96,46.25,3.65,31.91
B2026-0059,48,6.02,29.71,45.0,3.96,29.23
B2026-0059,54,6.14,29.76,40.85,4.53,33.24
B2026-0059,60,5.98,29.7,36.49,4.61,34.44
B2026-0059,66,5.97,29.81,38.21,4.72,34.9
B2026-0059,72,5.91,30.18,36.6,5.13,34.36
B2026-0060,0,5.93,30.35,44.69,0.93,1.55
B2026-0060,6,5.92,30.5,43.21,1.38,14.31
B2026-0060,12,5.88,30.17,41.86,1.63,19.88
B2026-0060,18,5.87,30.22,39.48,1.68,23.52
B2026-0060,24,5.85,29.94,38.36,1.89,24.77
B2026-0060,30,5.78,30.18,36.01,2.33,30.66
B2026-0060,36,5.73,30.35,34.81,2.55,32.01
B2026-0060,42,5.61,30.08,34.69,2.51,29.85
B2026-0060,48,5.64,30.25,33.03,2.78,31.93
B2026-0060,54,5.61,30.21,29.52,2.86,35.15
B2026-0060,60,5.51,30.5,32.37,3.05,29.51
B2026-0060,66,5.55,30.24,25.49,3.27,33.59
B2026-0060,72,5.53,30.31,28.2,3.6,33.97
B2026-0061,0,6.32,29.92,30.56,1.31,3.61
B2026-0061,6,6.31,29.93,26.57,1.28,11.58
B2026-0061,12,6.25,29.94,28.27,1.48,18.19
B2026-0061,18,6.2,29.96,23.12,1.81,21.48
B2026-0061,24,6.21,29.81,21.28,2.06,28.52
B2026-0061,30,6.08,29.71,23.51,2.33,30.15
B2026-0061,36,6.12,29.83,18.73,2.64,32.55
B2026-0061,42,6.12,29.66,20.45,2.73,30.86
B2026-0061,48,6.0,29.96,17.34,2.96,34.1
B2026-0061,54,5.98,29.75,13.26,3.27,33.33
B2026-0061,60,5.85,29.96,12.13,3.64,31.79
B2026-0061,66,5.88,29.73,9.55,3.61,36.86
B2026-0061,72,5.85,29.72,6.27,3.69,33.63
B2026-0062,0,6.31,30.02,46.39,1.53,5.54
B2026-0062,6,6.4,29.77,47.75,1.73,13.01
B2026-0062,12,6.19,30.31,47.86,2.11,21.47
B2026-0062,18,6.22,30.11,44.69,2.26,22.68
B2026-0062,24,6.31,30.15,45.15,2.6,28.2
B2026-0062,30,6.06,29.82,41.9,3.24,31.99
B2026-0062,36,6.07,29.95,38.16,3.31,31.05
B2026-0062,42,6.1,30.19,39.46,3.66,30.94
B2026-0062,48,6.05,29.98,39.19,3.93,32.95
B2026-0062,54,6.02,29.82,34.56,4.15,31.29
B2026-0062,60,5.91,30.0,37.72,4.49,35.44
B2026-0062,66,5.91,29.97,33.79,4.86,36.0
B2026-0062,72,5.84,29.81,28.5,5.02,30.93
B2026-0063,0,6.07,30.09,49.17,0.76,5.54
B2026-0063,6,5.85,29.85,47.33,1.08,13.72
B2026-0063,12,5.95,30.16,47.28,1.36,18.08
B2026-0063,18,5.72,29.9,44.08,1.33,22.16
B2026-0063,24,5.76,30.1,47.54,1.37,24.9
B2026-0063,30,5.7,30.12,42.12,1.66,30.22
B2026-0063,36,5.77,30.0,39.31,1.95,30.45
B2026-0063,42,5.65,29.93,41.21,2.12,33.55
B2026-0063,48,5.7,30.07,36.76,2.39,33.54
B2026-0063,54,5.74,30.05,37.59,2.47,33.31
B2026-0063,60,5.53,30.05,35.65,2.74,34.36
B2026-0063,66,5.47,29.96,30.38,2.98,33.4
B2026-0063,72,5.52,30.05,32.05,2.93,33.25
B2026-0064,0,5.7,30.57,48.7,1.52,6.08
B2026-0064,6,5.69,30.38,46.98,1.51,12.51
B2026-0064,12,5.71,30.24,44.66,1.9,22.25
B2026-0064,18,5.52,30.39,43.22,2.1,23.18
B2026-0064,24,5.63,30.42,42.51,2.58,28.73
B2026-0064,30,5.6,30.23,41.55,2.77,27.92
B2026-0064,36,5.41,30.01,39.11,3.01,29.03
B2026-0064,42,5.53,30.34,40.09,3.28,30.39
B2026-0064,48,5.45,30.41,34.71,3.33,33.0
B2026-0064,54,5.32,30.48,33.41,3.97,30.27
B2026-0064,60,5.35,30.53,30.86,4.01,33.29
B2026-0064,66,5.26,30.35,28.47,4.28,34.98
B2026-0064,72,5.24,30.16,31.54,4.65,32.87
B2026-0065,0,5.66,30.67,54.94,1.03,5.19
B2026-0065,6,5.67,30.68,54.11,1.12,13.07
B2026-0065,12,5.56,30.73,52.7,1.29,20.31
B2026-0065,18,5.47,30.73,48.76,1.77,21.84
B2026-0065,24,5.61,30.97,46.08,1.71,27.04
B2026-0065,30,5.44,30.75,48.49,2.0,28.91
B2026-0065,36,5.49,30.9,45.9,2.06,33.11
B2026-0065,42,5.52,30.92,41.08,2.2,31.5
B2026-0065,48,5.41,30.55,42.17,2.66,33.71
B2026-0065,54,5.32,30.7,40.2,2.68,34.12
B2026-0065,60,5.35,30.98,35.75,2.91,33.35
B2026-0065,66,5.27,30.95,38.38,3.24,34.85
B2026-0065,72,5.23,30.78,31.38,3.43,33.95
B2026-0066,0,6.21,31.26,34.19,1.1,6.32
B2026-0066,6,6.16,31.07,34.85,1.57,14.19
B2026-0066,12,6.01,31.4,35.45,1.65,17.3
B2026-0066,18,6.12,31.22,29.02,1.87,28.28
B2026-0066,24,6.01,31.04,28.33,2.34,28.1
B2026-0066,30,6.06,31.19,31.27,2.26,29.39
B2026-0066,36,5.95,31.36,27.82,2.52,30.9
B2026-0066,42,5.79,30.81,27.26,2.78,31.6
B2026-0066,48,5.9,31.36,25.08,3.28,33.6
B2026-0066,54,5.82,31.19,19.86,3.4,29.79
B2026-0066,60,5.73,31.16,19.27,3.46,36.65
B2026-0066,66,5.79,31.05,18.33,3.59,35.27
B2026-0066,72,5.67,30.86,17.88,4.03,35.88
B2026-0067,0,6.26,30.16,66.04,1.14,5.08
B2026-0067,6,6.19,30.32,57.58,1.31,10.98
B2026-0067,12,6.14,30.4,57.68,1.67,21.36
B2026-0067,18,6.14,30.37,58.38,1.81,24.72
B2026-0067,24,6.21,30.12,53.82,1.89,28.32
B2026-0067,30,6.12,30.14,49.88,2.15,29.97
B2026-0067,36,6.01,30.24,51.52,2.57,31.32
B2026-0067,42,6.01,30.24,52.04,2.72,30.6
B2026-0067,48,5.95,30.34,51.71,2.94,31.4
B2026-0067,54,5.84,30.15,48.2,3.09,31.77
B2026-0067,60,5.78,29.9,40.0,3.31,37.37
B2026-0067,66,5.91,30.07,44.95,3.36,32.24
B2026-0067,72,5.69,30.18,42.71,3.79,35.43
B2026-0068,0,5.85,30.42,36.14,0.84,1.75
B2026-0068,6,5.87,30.36,33.0,1.19,10.91
B2026-0068,12,5.89,30.33,36.52,1.52,17.65
B2026-0068,18,5.75,30.5,33.81,1.62,21.6
B2026-0068,24,5.74,30.34,32.69,1.88,27.83
B2026-0068,30,5.69,30.51,31.78,2.14,29.09
B2026-0068,36,5.63,30.55,27.84,1.99,31.54
B2026-0068,42,5.57,30.23,28.24,2.52,29.55
B2026-0068,48,5.6,30.03,24.86,2.76,32.35
B2026-0068,54,5.5,30.53,20.64,2.74,33.55
B2026-0068,60,5.57,30.23,21.73,2.81,32.34
B2026-0068,66,5.48,30.42,19.8,3.05,33.36
B2026-0068,72,5.34,30.22,18.81,3.26,33.3
B2026-0069,0,6.17,29.23,50.88,0.98,7.24
B2026-0069,6,6.24,29.04,48.58,1.06,14.37
B2026-0069,12,6.05,29.23,52.82,1.38,20.14
B2026-0069,18,6.07,29.11,49.36,1.47,25.61
B2026-0069,24,5.96,29.12,43.48,1.65,26.19
B2026-0069,30,5.81,29.16,43.06,2.05,29.78
B2026-0069,36,5.87,29.13,42.02,2.32,29.57
B2026-0069,42,5.82,29.03,37.95,2.37,32.3
B2026-0069,48,5.9,29.35,44.12,2.52,32.46
B2026-0069,54,5.71,29.3,37.98,2.79,31.75
B2026-0069,60,5.76,29.23,36.44,2.82,35.68
B2026-0069,66,5.82,29.03,36.02,2.75,35.21
B2026-0069,72,5.55,29.12,30.37,3.26,35.69
B2026-0070,0,6.24,29.88,31.47,1.43,4.65
B2026-0070,6,6.24,29.87,34.03,1.57,11.41
B2026-0070,12,6.25,29.9,28.26,1.51,18.07
B2026-0070,18,6.31,29.88,27.54,1.97,26.92
B2026-0070,24,6.18,30.1,24.97,2.16,26.85
B2026-0070,30,6.09,29.91,26.36,2.33,29.14
B2026-0070,36,6.14,29.81,25.19,2.67,30.56
B2026-0070,42,5.94,29.88,22.16,3.11,32.85
B2026-0070,48,6.08,29.76,19.58,3.28,31.51
B2026-0070,54,6.03,30.05,18.8,3.33,31.98
B2026-0070,60,6.04,30.03,17.35,3.56,33.95
B2026-0070,66,5.9,30.0,16.55,3.75,32.01
B2026-0070,72,5.85,29.68,12.85,4.02,35.17
B2026-0071,0,6.49,30.37,43.11,1.35,4.52
B2026-0071,6,6.24,30.81,37.06,1.64,9.88
B2026-0071,12,6.29,30.79,34.92,2.05,20.78
B2026-0071,18,6.2,30.9,33.9,2.18,23.74
B2026-0071,24,6.2,30.26,31.85,2.27,29.27
B2026-0071,30,6.25,30.79,30.16,2.58,28.16
B2026-0071,36,6.23,30.55,24.35,3.08,33.06
B2026-0071,42,6.17,30.81,29.88,3.23,28.88
B2026-0071,48,6.03,30.75,25.62,3.47,31.4
B2026-0071,54,5.93,30.93,28.06,3.75,33.88
B2026-0071,60,5.89,30.75,26.24,3.83,34.59
B2026-0071,66,5.94,30.74,24.43,4.52,33.86
B2026-0071,72,5.91,30.67,18.29,4.57,35.44
B2026-0072,0,6.71,30.47,57.2,1.11,2.74
B2026-0072,6,6.67,30.67,58.51,1.28,11.92
B2026-0072,12,6.7,30.58,55.02,1.59,20.78
B2026-0072,18,6.64,30.77,53.43,1.73,26.48
B2026-0072,24,6.58,30.54,54.65,1.99,28.94
B2026-0072,30,6.57,30.47,51.38,2.37,33.07
B2026-0072,36,6.4,30.82,48.67,2.35,30.62
B2026-0072,42,6.4,30.45,47.67,2.83,32.35
B2026-0072,48,6.33,30.58,45.46,2.97,34.51
B2026-0072,54,6.33,30.4,42.76,3.18,35.14
B2026-0072,60,6.35,30.87,42.56,3.48,31.71
B2026-0072,66,6.26,30.44,40.59,3.97,34.66
B2026-0072,72,6.14,30.67,38.1,3.71,37.59
B2026-0073,0,6.66,30.2,43.13,1.17,6.31
B2026-0073,6,6.57,29.69,47.17,1.45,13.3
B2026-0073,12,6.58,30.22,42.24,1.61,17.24
B2026-0073,18,6.49,30.36,37.87,1.8,25.43
B2026-0073,24,6.4,30.09,36.83,2.11,24.47
B2026-0073,30,6.36,30.18,36.44,2.49,31.9
B2026-0073,36,6.44,30.29,34.12,2.5,30.83
B2026-0073,42,6.34,30.27,34.08,2.79,33.17
B2026-0073,48,6.34,30.28,31.18,2.94,31.56
B2026-0073,54,6.18,30.19,30.7,3.1,32.7
B2026-0073,60,6.19,30.01,28.95,3.46,32.81
B2026-0073,66,6.14,30.21,24.8,3.7,34.91
B2026-0073,72,6.05,29.9,21.84,3.9,32.45
B2026-0074,0,5.78,30.87,49.96,1.27,7.2
B2026-0074,6,5.78,30.57,50.82,1.6,15.33
B2026-0074,12,5.68,30.51,46.8,1.81,16.98
B2026-0074,18,5.65,30.48,50.12,1.98,24.19
B2026-0074,24,5.54,30.64,43.98,2.24,30.15
B2026-0074,30,5.65,30.6,51.2,2.43,30.89
B2026-0074,36,5.46,30.58,40.52,2.82,30.89
B2026-0074,42,5.49,30.78,40.5,3.07,33.22
B2026-0074,48,5.38,30.51,40.16,3.36,34.98
B2026-0074,54,5.41,30.57,36.72,3.57,33.01
B2026-0074,60,5.37,30.61,37.99,3.71,32.74
