sample_id,batch_id,enzyme_activity_U_mL,protein_concentration_mg_mL,purity_pct,hplc_main_peak_pct,analytical_method,instrument_id,analyst,qc_status
S00247,B2026-0247,826,11.55,93.67,93.26,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00248,B2026-0248,810,11.98,92.56,93.71,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00249,B2026-0249,810.3,10.94,94.27,94.88,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00250,B2026-0250,889.1,15.09,94.06,93.81,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00251,B2026-0251,836.9,12.37,94.37,94.58,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00252,B2026-0252,760.1,13.34,94.77,94.88,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00253,B2026-0253,841.6,11.8,95.34,93.42,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00254,B2026-0254,920.6,11.13,95.05,94.42,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00255,B2026-0255,765.2,12.2,91.61,91.58,HPLC-ENZ-204,HPLC-01,Analyst_B,Hold
S00256,B2026-0256,843.8,13.93,92.67,92.42,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00257,B2026-0257,878,11.82,92.47,92.65,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00258,B2026-0258,838.6,11.37,94.53,95.32,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00259,B2026-0259,824.8,12.7,93.2,92.97,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00260,B2026-0260,825.1,13.15,91.95,91.21,HPLC-ENZ-204,HPLC-03,Analyst_A,Hold
S00261,B2026-0261,845.4,14.64,93.56,93.79,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00262,B2026-0262,706.8,12.96,90.9,90.67,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00263,B2026-0263,849.5,13.34,93.19,93.08,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00264,B2026-0264,838.4,13.44,91.99,91.79,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00265,B2026-0265,799,11,93.67,95.24,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00266,B2026-0266,742.5,11.25,93.09,91.52,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00267,B2026-0267,804.3,11.09,96.04,95.77,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00268,B2026-0268,785.2,10.77,94.36,94.36,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00269,B2026-0269,922.9,13.53,93.34,92.8,HPLC-ENZ-204,HPLC-03,Analyst_A,Hold
S00270,B2026-0270,815.9,12.88,94.26,94.89,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00271,B2026-0271,797,12.6,91.98,92.55,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00272,B2026-0272,839.3,9.13,92.33,92.29,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00273,B2026-0273,754,15.17,93.2,93.01,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00274,B2026-0274,910.9,11.34,90.15,90.07,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00275,B2026-0275,797.8,15.17,93.01,92.93,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00276,B2026-0276,826,10.62,92.44,92.39,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
S00277,B2026-0277,913.5,11.44,93.85,93.72,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00278,B2026-0278,666.6,9.64,91.38,91.56,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00279,B2026-0279,785.6,12.97,93.52,94.05,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00280,B2026-0280,983.6,11.07,94.22,93.36,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00281,B2026-0281,855.8,11.11,95.53,94.8,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00282,B2026-0282,685.7,10.72,92.84,91.61,HPLC-ENZ-204,HPLC-02,Analyst_B,Hold
S00283,B2026-0283,846.6,13.51,92.97,93.57,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00284,B2026-0284,875.7,13.42,93.02,93.2,HPLC-ENZ-204,HPLC-03,Analyst_D,Released
S00285,B2026-0285,803,14.86,91.45,91.8,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00286,B2026-0286,751.7,11.61,93.59,92.59,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00287,B2026-0287,805.9,12.78,94.3,95.55,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00288,B2026-0288,799.6,10.82,96.43,96.01,HPLC-ENZ-204,HPLC-01,Analyst_C,Released
S00289,B2026-0289,832.1,12.06,92.63,92.75,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00290,B2026-0290,867.2,11.83,92.96,93.56,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00291,B2026-0291,780.3,13.1,91.81,91.12,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00292,B2026-0292,844.1,13.82,93.71,93.33,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00293,B2026-0293,710.8,13.79,93.36,93.49,HPLC-ENZ-204,HPLC-03,Analyst_B,Hold
S00294,B2026-0294,777.1,11.4,93.53,95.53,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00295,B2026-0295,833.9,13.8,94.62,94.83,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00296,B2026-0296,766.9,12.44,92.76,93.88,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00297,B2026-0297,714.2,12.08,93.6,94.44,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00298,B2026-0298,775.8,11.58,93.46,93.72,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00299,B2026-0299,682.7,11.77,92.5,91.81,HPLC-ENZ-204,HPLC-01,Analyst_D,Hold
S00300,B2026-0300,763.1,14.77,92.93,93.67,HPLC-ENZ-204,HPLC-02,Analyst_A,Hold
